municipality,name,population
13107,Huechuraba,103549
13108,Independencia,89493
13109,La Cisterna,93480
13110,La Florida,390403
13111,La Granja,144260
13112,La Pintana,217034
13113,La Reina,101518
13114,Las Condes,290869
13115,Lo Barnechea,115313
13116,Lo Espejo,120148
13117,Lo Prado,113748
13118,Macul,125855
13119,Maipú,571632
13120,Ñuñoa,242287
13121,Pedro Aguirre Cerda,122600
13122,Peñalolén,246871
13123,Providencia,155166
13124,Pudahuel,244395
13125,Quilicura,248306
13126,Quinta Normal,117930
13127,Recoleta,172820
13128,Renca,155465
13129,San Joaquín,105409
13130,San Miguel,122562
13131,San Ramón,100025
13132,Vitacura,89085
13201,Puente Alto,647428
13202,Pirque,23979
13203,San José de Maipo,15329
13301,Colina,140475
13302,Lampa,114237
13303,Tiltil,18409
13401,San Bernardo,312169
13402,Buin,90292
13403,Calera de Tango,26941
13404,Paine,73044
13501,Melipilla,123669
13502,Alhué,6179
13503,Curacaví,31274
13504,María Pinto,13728
13505,San Pedro,10323
13601,Talagante,73748
13602,El Monte,39125
13603,Isla de Maipo,38916
13604,Padre Hurtado,62906
13605,Peñaflor,98603
14101,Valdivia,176840
14102,Corral,5776
14103,Lanco,18396
14104,Los Lagos,23229
14105,Máfil,7445
14106,Mariquina,23448
14107,Paillaco,21217
14108,Panguipulli,36923
14201,La Unión,44157
14202,Futrono,16830
14203,Lago Ranco,10947
14204,Río Bueno,32781
15101,Arica,255390
15102,Camarones,791
15201,Putre,2095
15202,General Lagos,502
8401,Chillán,182622
8402,Bulnes,22133
8406,Chillán Viejo,36553
8407,El Carmen,12627
8410,Pemuco,9276
8411,Pinto,11588
8413,Quillón,17141
8418,San Ignacio,15611
8421,Yungay,18399
8414,Quirihue,13943
8403,Cobquecura,5584
8404,Coelemu,17164
8408,Ninhue,5732
8412,Portezuelo,5575
8415,Ránquil,6105
8420,Treguaco,5212
8416,San Carlos,53815
8405,Coihueco,26159
8409,Ñiquén,11501
8417,San Fabián,4146
8419,San Nicolás,11895
